98;"鹿溪森林公园";"430722001";111.85;28.6700000000001
99;"河伯岭林场省级监测站";"430523001";111.28;26.7900000000001
100;"打鼓坪林场";"431123002";111.6;25.72
101;"白石度森林派出所";"431022004";113.02;25.4
102;"船溪站监测站";"431223001";110.25;28.1700000000001
103;"祁阳县林业局服务大院";"431121002";111.94;26.34
104;"乌石林业站森林火险监测站";"430321002";112.65;27.66
105;"东山林场";"431025002";112.59;25.39
106;"挂榜山林场";"431121001";113.65;26.09
107;"五星岭监测站";"431123003";111.71;26.9800000000001
108;"白云林场";"431126001";111.88;25.76
109;"芦洪镇林业站";"431122002";111.48;26.6200000000001
110;"南洞林场";"430529002";110.23;26.3600000000001
111;"花岩溪林场";"430703002";111.55;28.7
112;"雷锋山国营林场";"431224002";110.51;27.9
113;"东安县林业局";"431122001";111.32;26.4
114;"黄丰桥国有林场";"430223001";113.55;27.1100000000001
115;"流峰林业工作站";"431021002";112.48;25.97
116;"陶岭乡政府大院";"431128002";112.33;25.7400000000001
117;"石门乡中平村六组";"430524002";111.01;27.22
118;"哲桥镇林业站";"430481002";112.79;26.4800000000001
119;"兰家组沙基垄山";"430225001";113.8;26.45
120;"莽山猴王寨管理站";"431022001";112.89;24.9900000000001
121;"花明楼林业站";"430124002";112.63;28.0400000000001
122;"国家森林公园省级";"430801002";110.46;29.3200000000001
123;"龙虎山监测站";"430981001";112.3;28.9200000000001
124;"杉木河国有林场站";"433127001";109.83;29.1900000000001
125;"水口山林场";"430281002";113.33;27.4400000000001
126;"含浦镇林业管理站监测站";"430104001";112.85;28.1
127;"河溪镇林业站";"433101002";109.81;28.22
128;"大围山国家森林公园";"430181003";114.08;28.4300000000001
129;"贯塘乡政府监测站";"430423001";112.58;27.3800000000001
130;"白芒营林业站";"431129003";111.52;24.9900000000001
131;"天供山林场";"430724001";111.53;29.8600000000001
132;"森林火险监测站";"431222002";110.36;28.3200000000001
133;"星沙森林火险监测站";"430121001";113.07;28.2500000000001
134;"衡山县林业局楼顶";"430423002";112.85;27.2500000000001
135;"天子山";"430811002";110.49;29.39
136;"益将林场";"431026002";113.85;25.57
137;"国有漩水林场";"430802002";110.32;29.1300000000001
138;"南京寨林业站";"430224002";113.43;26.83
139;"晓霞山森林公园火险监测站";"430321001";112.85;27.52
140;"小溪国家级自然保护区十二湾站";"433127002";110.2;28.8000000000001
141;"杨村乡林业工作站监测站";"431202001";110.01;27.5400000000001
142;"琅塘森林火险监测站";"431322003";111.11;27.95
143;"纸棚垭木材检查站";"430726001";110.98;29.71
144;"邓家铺省级监测站";"430581001";110.93;26.91
145;"道源林场";"430181002";113.66;28.2500000000001
146;"桃江县监测站";"430922001";112.14;28.53
147;"大山冲森林火险监测站";"430121002";113.23;28.41
148;"山门镇国家级监测站";"430525001";110.69;27.2300000000001
149;"酒埠江林业工作站";"430223002";113.79;27.3200000000001
150;"株洲县森林防火指挥部";"430221002";113.14;27.71
151;"踏庄乡荆茗村监测站";"430424001";113.03;27.16
152;"森林公安分局";"430802001";110.49;29.1200000000001
153;"新墙林业站火险监测站";"430621001";113.22;29.1
154;"文明山森林公园监测站";"431226002";109.78;27.8800000000001
155;"管庄森林火险监测站";"430281001";113.42;27.8800000000001
156;"国营西县林场";"430822002";110.18;29.4
157;"苗圃监测站";"431228002";109.66;27.4800000000001
158;"胜峰国有林场";"430623001";112.6;29.6000000000001
